,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
155,148,Syria,57743,,"3,165",,"54,578",,0,,"2,982",163,"146,269","7,553"
32,25,Portugal,5643062,,"28,126",,"5,614,809",,127,61,"556,484","2,774","46,139,518","4,549,993"
33,26,Ukraine,5557995,,"112,418",,"5,445,577",,0,,"128,681","2,603","32,603,805","754,855"
95,88,Venezuela,552695,,"5,856",,"546,537",,302,31,"18,885",200,"3,359,014","114,771"
222,215,St. Barth,5507,,6,,N/A,N/A,N/A,,"553,746",603,"78,646","7,908,095"
156,149,Burundi,54721,,38,,"53,569",,"1,114",,"4,334",3,"345,742","27,386"
223,216,Nauru,5393,,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042"
34,27,Chile,5384853,,"64,497",,"5,252,450",,"67,906",7,"279,730","3,350","50,382,097","2,617,225"
35,28,Malaysia,5278406,,"37,348",,"5,233,268",,"7,790",11,"159,079","1,126","68,580,916","2,066,869"
96,89,Egypt,516023,,"24,613",,"442,182",,"49,228",122,"4,861",232,"3,693,367","34,792"
97,90,Qatar,514524,,690,,"513,687",,147,16,"172,664",232,"4,065,369","1,364,257"
157,150,Seychelles,51220,,172,,"51,048",,0,,"515,157","1,730",,
224,217,Kiribati,5085,,24,,"2,703",,"2,358",3,"41,201",194,,
98,91,Libya,507274,,"6,437",,"500,835",,2,,"72,048",914,"2,483,848","352,782"
238,231,China,503302,,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461"
99,92,Ethiopia,501157,,"7,574",,"488,171",,"5,412",,"4,148",63,"5,565,340","46,066"
36,29,Canada,4946090,,"59,034",,"4,881,312",+350,"5,744",99,"128,843","1,538","66,572,774","1,734,189"
100,93,Réunion,494595,,921,,N/A,N/A,N/A,N/A,"544,672","1,014","1,603,660","1,766,027"
158,151,Gabon,49051,,307,,"48,674",,70,,"21,038",132,"1,621,909","695,641"
37,30,Belgium,4861695,,"34,376",,"4,826,798",+50,521,N/A,"416,659","2,946","37,454,182","3,209,915"
38,31,Israel,4841772,,"12,707",,"4,798,473",,"30,592",N/A,"519,169","1,363","41,373,364","4,436,346"
159,152,Andorra,48015,,165,,N/A,N/A,N/A,N/A,"619,844","2,130","249,838","3,225,256"
39,32,DPRK,4772813,,74,,"4,772,739",,0,,"183,636",3,,
40,33,Thailand,4770149,,"34,586",,"4,692,636",,"42,927",N/A,"68,069",494,"17,273,454","246,488"
41,34,Czechia,4759041,,"43,517",,"4,715,206",,318,2,"443,246","4,053","57,834,241","5,386,552"
101,94,Honduras,474590,,"11,165",,N/A,N/A,N/A,N/A,"46,432","1,092","1,660,662","162,472"
160,153,Papua New Guinea,46864,,670,,"46,168",,26,N/A,"5,043",72,"249,149","26,813"
161,154,Curaçao,45986,,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640"
42,35,Peru,4572667,,"222,161",,"4,350,506",,0,4,"135,751","6,595","39,010,194","1,158,115"
102,95,Armenia,451831,,"8,777",,"435,162",,"7,892",,"152,031","2,953","3,242,901","1,091,164"
9,2,India,45035393,,"533,570",,N/A,N/A,N/A,N/A,"32,016",379,"935,879,495","665,334"
43,36,Switzerland,4453053,,"14,452",,"4,438,309",,292,N/A,"507,549","1,647","23,833,472","2,716,487"
162,155,Aruba,44224,,292,,"42,438",,"1,494",2,"410,969","2,714","177,885","1,653,068"
163,156,Tanzania,43223,,846,,N/A,N/A,N/A,N/A,683,13,,
164,157,Mauritius,43025,,"1,051",,"41,278",,696,,"33,752",824,"358,675","281,374"
165,158,Mayotte,42027,,188,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038"
44,37,Philippines,4140383,,"66,864",,"4,067,381",,"6,138",N/A,"36,800",594,"36,102,746","320,888"
45,38,South Africa,4076463,,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027"
103,96,Bosnia and Herzegovina,403615,,"16,388",,"379,084",,"8,143",,"124,215","5,044","1,884,721","580,036"
10,3,France,40138560,,"167,642",,"39,970,918",,0,,"612,013","2,556","271,490,188","4,139,547"
104,97,Oman,399449,,"4,628",,N/A,N/A,N/A,,"75,028",869,"25,000,000","4,695,724"
166,159,Togo,39572,,290,,"39,281",,1,,"4,559",33,"815,204","93,908"
105,98,Luxembourg,391232,,"1,232",,N/A,N/A,N/A,,"609,044","1,918","4,587,145","7,140,959"
225,218,Anguilla,3904,,12,,N/A,N/A,N/A,N/A,"256,336",788,"51,382","3,373,736"
11,4,Germany,38828995,,"183,027",,"38,240,600",,"405,368",N/A,"462,891","2,182","122,332,384","1,458,359"
12,5,Brazil,38743918,,"711,380",,"36,249,161",,"1,783,377",N/A,"179,908","3,303","63,776,166","296,146"
167,160,Guinea,38572,,468,,"37,757",,347,N/A,"2,782",34,"660,107","47,607"
168,161,Bahamas,38084,,844,,"36,366",,874,1,"95,087","2,107","257,839","643,767"
169,162,Isle of Man,38008,,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422"
